feature,importance_mean,importance_std
log_oldbalance_org,0.7985814615985435,0.009046358565376255
log_amount,0.7142288655873084,0.010759164954876563
log_oldbalance_dest,0.2193886976823427,0.005126403477335756
type_transfer,0.2118693636926038,0.006353782037513869
type_cash_out,0.09974021679785745,0.0032466875474776173
type_cash_in,0.06549177884887285,0.0013359775409526682
type_payment,0.06531168718888165,0.005302488976756297
hour,0.04377329409898264,0.004703748104337703
step,0.0,0.0
day,0.0,0.0
type_debit,0.0,0.0
